sample_date,site,signal
2021-08-24,UO_AA,9.1e-4
2021-08-26,UO_AA,5e-4
2021-08-31,UO_AA,5.9e-4
2021-09-02,UO_AA,5e-5
2021-09-07,UO_AA,1.4e-4
2021-09-09,UO_AA,4e-5
2021-09-15,UO_AA,1.1e-4
2021-09-16,UO_AA,4.6e-4
2021-09-21,UO_AA,3.8e-4
2021-09-23,UO_AA,0.00128
2021-09-28,UO_AA,1.1e-4
2021-09-29,UO_AA,6e-4
2021-10-05,UO_AA,2.6e-4
2021-10-06,UO_AA,4.2e-4
2021-10-07,UO_AA,8e-5
2021-10-12,UO_AA,1.3e-4
2021-10-14,UO_AA,4.4e-4
2021-10-20,UO_AA,1.7e-4
2021-10-21,UO_AA,4.5e-4
2021-10-26,UO_AA,5.3e-4
2021-10-28,UO_AA,0
2021-11-02,UO_AA,1.2e-4
2021-11-04,UO_AA,3e-5
2021-11-09,UO_AA,9e-5
2021-11-12,UO_AA,1e-5
2021-11-16,UO_AA,0
2021-11-18,UO_AA,1.2e-4
2021-11-23,UO_AA,0
2021-11-25,UO_AA,3e-5
2021-11-30,UO_AA,1e-5
2021-12-02,UO_AA,2e-5
2021-12-07,UO_AA,1.599003587e-5
2021-12-09,UO_AA,6.121601583e-4
2021-12-16,UO_AA,9.151441058e-5
2022-01-11,UO_AA,1.232715889e-4
2022-01-13,UO_AA,1.301942188e-4
2022-01-18,UO_AA,3.381953452e-4
2022-01-20,UO_AA,1.847308726e-5
2022-01-25,UO_AA,5.19132812e-4
2022-01-27,UO_AA,0.0129435095
2022-02-01,UO_AA,0.003731871951
2022-02-02,UO_AA,0.003024805961
2022-02-03,UO_AA,0.002638434024
2022-02-04,UO_AA,2.181919246e-4
2022-02-08,UO_AA,8.705946995e-5
2022-02-09,UO_AA,1.545538885e-5
2022-02-10,UO_AA,3.753026842e-5
2022-02-11,UO_AA,5.187996202e-5
2022-02-15,UO_AA,4.662750244e-5
2022-02-16,UO_AA,4.869069624e-5
2022-02-17,UO_AA,0
2022-02-22,UO_AA,6.654906878e-5
2022-02-24,UO_AA,0
2022-03-01,UO_AA,7.76741487e-4
2022-03-02,UO_AA,8.819113687e-5
2022-03-03,UO_AA,5.814163457e-5
2022-03-04,UO_AA,4.044451372e-5
2022-03-08,UO_AA,0
2022-03-09,UO_AA,0
2022-03-10,UO_AA,6.280668183e-6
2022-03-11,UO_AA,0
2022-03-15,UO_AA,4.499420151e-6
2022-03-16,UO_AA,7.872360447e-6
2022-03-17,UO_AA,1.439570018e-5
2022-03-18,UO_AA,2.372958434e-5
2022-03-23,UO_AA,3.349349818e-5
2022-03-24,UO_AA,6.37282463e-4
2022-03-25,UO_AA,8.428216912e-4
2022-03-29,UO_AA,5.389047966e-4
2022-03-31,UO_AA,3.414419432e-4
2022-04-01,UO_AA,0.004041600472
2022-04-05,UO_AA,0.001139404072
